,title
Tandem leader proteases of Grapevine leafroll-associated virus-2: Host-specific functions in the infection cycle,1
Viral and bacterial upper respiratory tract infection in hospital health care workers over time and association with symptoms,1
Enhancement of the immunogenicity of an infectious bronchitis virus DNA vaccine by a bicistronic plasmid encoding nucleocapsid protein and interleukin-2,1
The Expanding Functions of Cellular Helicases: The Tombusvirus RNA Replication Enhancer Co-opts the Plant eIF4AIII-Like AtRH2 and the DDX5-Like AtRH5 DEAD-Box RNA Helicases to Promote Viral Asymmetric RNA Replication,1
Pharmacogenomics and Personalized Medicine Dovepress Glioblastoma extracellular vesicles: reservoirs of potential biomarkers,1
ONLINE SUPPLEMENTARY MATERIAL VIABILITY OF PSEUDOMONAS AERUGINOSA IN COUGH AEROSOLS GENERATED BY PERSONS WITH CYSTIC FIBROSIS,1
A DNA prime-protein boost vaccination strategy targeting turkey coronavirus spike protein fragment containing neutralizing epitope against infectious challenge,1
"The Intracellular Cargo Receptor ERGIC-53 Is Required for the Production of Infectious Arenavirus, Coronavirus, and Filovirus Particles",1
Alpha/Beta Interferon (IFN-␣/␤) Signaling in Astrocytes Mediates Protection against Viral Encephalomyelitis and Regulates IFN-␥-Dependent Responses,1
Inevitable isolation and the change of stress markers in hemodialysis patients during the 2015 MERS- CoV outbreak in Korea OPEN,1
The FDA-Approved Oral Drug Nitazoxanide Amplifies Host Antiviral Responses and Inhibits Ebola Virus VSV EBOV and Inhibits Ebola and VSV The FDA-Approved Oral Drug Nitazoxanide Amplifies Host Antiviral Responses and Inhibits Ebola Virus,1
Mannose-Binding Lectin (MBL) gene polymorphisms in susceptibility to pulmonary tuberculosis among the Lur population of Lorestan Province of Iran,1
Strengthening community-based initiatives for health emergency management,1
Testing therapeutics in cell-based assays: Factors that influence the apparent potency of drugs,1
Viral RNA extraction for in-the-field analysis,1
"Patient Safety Tools: SARS, Smallpox, Monkeypox, and Avian Flu XXXXX HOSPITAL Emergency Department/Infection Control Triage of Patients for SARS and Avian Influenza A",1
Establishment of method for dual simultaneous detection of PEDV and TGEV by combination of magnetic micro-particles and nanoparticles *,1
Supplemental Information Structure and Function Analysis of an Antibody Recognizing All Influenza A Subtypes,1
Infectious Bronchitis Virus Nonstructural Protein 4 Alone Induces Membrane Pairing,1
Receptors and ligands involved in viral induction of type I interferon production by plasmacytoid dendritic cells,1
Blocking transmission of Middle East respiratory syndrome coronavirus (MERS-CoV) in llamas by vaccination with a recombinant spike protein,1
RNA silencing of rotavirus gene expression,1
"Complete genome sequence of K14JB01, a novel variant strain of porcine epidemic diarrhea virus in South Korea",1
Downregulation of Signaling-active IGF-1 by Dipeptidyl Peptidase IV (DPP-IV),1
Prioritizing zoonotic diseases in Ethiopia using a one health approach,1
Virus-Receptor Interactions: The Key to Cellular Invasion,1
A Tale of Two Viruses: Does Heterologous Flavivirus Immunity Enhance Zika Disease?,1
Enhanced inhibition of Avian leukosis virus subgroup J replication by multi-target miRNAs,1
Activation of the autophagy pathway by Torovirus infection is irrelevant for virus replication,1
Studies on Influenza Virus Transmission between Ferrets: the Public Health Risks Revisited,1
"Aspergillus PCR in serum for the diagnosis, follow-up and prognosis of invasive aspergillosis in neutropenic and nonneutropenic patients",1
Advice-giving in newspaper weather commentaries,1
molecules Iron Transport Tocopheryl Polyethylene Glycol Succinate in Animal Health and Diseases,1
Causes of severe pneumonia requiring hospital admission in children without HIV infection from Africa and Asia: the PERCH multi-country case-control study The PERCH Study Group,1
Multiple sclerosis patients have reduced HLA class II-restricted cytotoxic responses specific for both measles and herpes virus,1
The Effect of Contact Investigations and Public Health Interventions in the Control and Prevention of Measles Transmission: A Simulation Study,1
Impact of enhanced infection control procedures on clinical outcome following resuscitation attempts,1
Experimental Piscine orthoreovirus infection mediates protection against pancreas disease in Atlantic salmon (Salmo salar),1
Toona sinensis Roem tender leaf extract inhibits SARS coronavirus replication,1
"Genetic, Transcriptome, Proteomic, and Epidemiological Evidence for Blood- Brain Barrier Disruption and Polymicrobial Brain Invasion as Determinant Factors in Alzheimer's Disease",1
Absencing/presencing risk: Rethinking proximity and the experience of living with major technological hazards,1
Regulation of nucleocytoplasmic trafficking of viral proteins: An integral role in pathogenesis? ☆,1
Smart polyhydroxyalkanoate nanobeads by protein based functionalization,1
Vaccine Efficacy in Senescent Mice Challenged with Recombinant SARS-CoV Bearing Epidemic and Zoonotic Spike Variants,1
A long-distance RNA-RNA interaction plays an important role in programmed − 1 ribosomal frameshifting in the translation of p88 replicase protein of Red clover necrotic mosaic virus,1
"Reply to ""Studies on Influenza Virus Transmission between Ferrets: the Public Health Risks Revisited""",1
"State of the Art Diagnosis, Monitoring, and Treatment of Primary Ciliary Dyskinesia: PCD Foundation Consensus Recommendations Based on State of the Art Review",1
Distribution of bat-borne viruses and environment patterns,1
The Evolutionary Dynamics of the Lion Panthera leo Revealed by Host and Viral Population Genomics,1
Milk immunoglobulins for health promotion,1
Hyper-phosphorylation of nsp2-related proteins of porcine reproductive and respiratory syndrome virus,1
Interferon-a Improves Phosphoantigen-Induced Vc9Vd2 T-Cells Interferon-c Production during Chronic HCV Infection,1
Public response to MERS-CoV in the Middle East: iPhone survey in six countries,1
") SMUR PEDIATRIQUE 93 MONTREUIL (SAMU 93 CHU AVICENNE), A. De Rougemont(1), J. Kaplon(1), D. Gendrel(2), P. Lebon(2), M. Lorrot(3), E. Bingen(3), A. Gagneur(4)",1
Parallel evolution of influenza across multiple spatiotemporal scales,1
Severe Systemic Calciphylaxis in a Young Cat Abbreviations,1
Two specific membrane-bound aminopeptidase N isoforms from Aedes aegypti larvae serve as functional receptors for the Bacillus thuringiensis Cry4Ba toxin implicating counterpart specificity,1
Effectiveness of an education health programme about Middle East respiratory syndrome coronavirus tested during travel consultations Public Health,1
"Health system capacity in Sydney, Australia in the event of a biological attack with smallpox",1
Human coronavirus OC43 3CL protease and the potential of ML188 as a broad-spectrum lead compound: Homology modelling and molecular dynamic studies,1
Autoregulation of thromboinflammation on biomaterial surfaces by a multicomponent therapeutic coating,1
Letter to the Editor Asymptomatic and symptomatic respiratory virus infection detected in naso-pharyngeal swabs from solid organ transplant recipients early after transplantation Keywords: Respiratory virus infection Solid organ transplant patients Immunosuppression,1
Gene Expression Detection Assay for Cancer Clinical Use,1
Mapping road network communities for guiding disease surveillance and control strategies OPEN,1
Inhibition of Helicobacter pylori sialic acid-speci¢c haemagglutination by human gastrointestinal mucins and milk glycoproteins,1
Cloning whole bacterial genomes in yeast,1
Detection and characterisation of coronaviruses in migratory and non-migratory Australian wild birds,1
Use of personal protective equipment to protect against respiratory infections in Pakistan: A systematic review,1
A virus-like particle vaccine platform elicits heightened and hastened local lung mucosal antibody production after a single dose,1
Investigation of serum protein profiles in scrapie infected sheep by means of SELDI-TOF-MS and multivariate data analysis,1
A sensitive array-based assay for identifying multiple TMPRSS2:ERG fusion gene variants,1
Opposite Roles of RNase and Kinase Activities of Inositol-Requiring Enzyme 1 (IRE1) on HSV-1 Replication,1
The Molecular Aspect of Antitumor Effects of Protease Inhibitor Nafamostat Mesylate and Its Role in Potential Clinical Applications,1
Distinct DDX DEAD-box RNA helicases cooperate to modulate the HIV-1 Rev function,1
BMC Genomics Genome Annotation Transfer Utility (GATU): rapid annotation of viral genomes using a closely related reference genome,1
Open Access TECHNICAL ADVANCE Rapid semi-automated quantitative multiplex tandem PCR (MT-PCR) assays for the differential diagnosis of influenza-like illness,1
Coronavirus humains (HCoV) Human coronaviruses,1
The impact of the SARS outbreak on Taiwanese hotel stock performance: An event-study approach,1
viruses Reverse Engineering Provides Insights on the Evolution of Subgroups A to E Avian Sarcoma and Leukosis Virus Receptor Specificity †,1
Chasing Ebola through the endosomal labyrinth,1
Pneumonia and pericarditis in a child with HRV-C infection: A case report,1
The three lives of viral fusion peptides,1
Que reste-t-il de la pathologie liée au VIH ?,1
Exposure to multiple air pollutants and the incidence of coronary heart disease: A fine-scale geographic analysis,1
Electronic supplementary material Implications of asymptomatic carriers for infectious disease transmission and control,1
FATAL SEPTICEMIC MELIOIDOSIS IN A YOUNG MILITARY PERSON POSSIBLY CO-INFECTED WITH LEPTOSPIRA INTERROGANS AND ORIENTIA TSUTSUGAMUSHI,1
Phylogenetic investigation of enteric bovine coronavirus in Ireland reveals partitioning between European and global strains,1
Prenatal and childhood infections: implications for the development and treatment of childhood asthma,1
Angiotensin-converting enzyme 2 is reduced in Alzheimer's disease in association with increasing amyloid-β and tau pathology,1
Inherited and acquired disorders of myelin: The underlying myelin pathology,1
Combination Antifungal Therapy for Invasive Mold Infections Among Pediatric Patients with Hematological Malignancies: Data from A Real-Life Case-Series,1
"Enterovirus D-68 Infection, Prophylaxis, and Vaccination in a Novel Permissive Animal Model, the Cotton Rat (Sigmodon hispidus)",1
A Multiscale and Comparative Model for Receptor Binding of 2019 Novel Coronavirus and the Implication of its Life Cycle in Host Cells,1
"Molecular cloning, expression, purification, and mass spectrometric characterization of 3C-like protease of SARS coronavirus",1
ARTICLE Protein-directed ribosomal frameshifting temporally regulates gene expression,1
Estimating Individual and Household Reproduction Numbers in an Emerging Epidemic,1
BMC Infectious Diseases Roles of TNF-α gene polymorphisms in the occurrence and progress of SARS-Cov infection: A case-control study,1
Weighted multifractal cross-correlation analysis based on Shannon entropy,1
"Earlier detection of public health risks -Health policy lessons for better compliance with the International Health Regulations (IHR 2005): Insights from low-, mid-and high-income countries-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)",1
SARS coronavirus papain-like protease inhibits the type I interferon signaling pathway through interaction with the STING-TRAF3- TBK1 complex,1
The Effect of Dietary Energy Concentration on Calf Performance1,1
Evaluation of the NucliSens † Basic Kit assay for detection of Norwalk virus RNA in stool specimens,1
Global trends in research related to social media in psychology: mapping and bibliometric analysis,1
Human core duplicon gene families: game changers or game players?,1
"Macrocyclic inhibitors of 3C and 3C-like proteases of picornavirus, norovirus, and coronavirus",1
Tourism economics and policy analysis: Contributions and legacy of the Sustainable Tourism Cooperative Research Centre,1
Time-optimal control strategies in SIR epidemic models,1
A recombinant receptor-binding domain of MERS-CoV in trimeric form protects human dipeptidyl peptidase 4 (hDPP4) transgenic mice from MERS-CoV infection,1
Development of a Novel Ex-vivo 3D Model to Screen Amoebicidal Activity on Infected Tissue,1
Complete viral RNA genome sequencing of ultra-low copy samples by sequence-independent amplification,1
The Impact of Host-Based Early Warning on Disease Outbreaks,1
An RNA Aptamer That Specifically Binds to the Glycosylated Hemagglutinin of Avian Influenza Virus and Suppresses Viral Infection in Cells,1
Nano-based approach to combat emerging viral (NIPAH virus) infection,1
Evaluation of reverse transcription and polymerase chain reaction (RTLPCR) for the detection of rotaviruses: applications of the assay,1
Identification of Novel MAGE-G1- Interacting Partners in Retinoic Acid-Induced P19 Neuronal Differentiation Using SILAC-Based Proteomics OPEN,1
Rapid Communication SARS corona virus peptides recognized by antibodies in the sera of convalescent cases,1
Place des viroses respiratoires dans les hyperthermies de sujets âgés hospitalisés au cours d'une saison hivernale,1
"Obvious and Hidden Anxiety and the Related Factors in Operating Room Nurses Employed in General Hospital, Qazvin, Iran: A Cross-Sectional Study",1
P133 RIG-I mediates recognition of Salmonella RNA in non-phagocytic cells and con- tributes to early bacterial replication in vivo P135 Defining the intracellular innate immune synapse,1
Inhibition of white spot syndrome virus in Litopenaeus vannamei shrimp by sequence-specific siRNA,1
Development of transgenic mouse model expressing porcine aminopeptidase N and its susceptibility to porcine epidemic diarrhea virus,1
of the Creative Commons Attribution Non-Commercial 4.0 License (CC BY-NC 4.0). Iranian Emergency Medical Service Response in Disaster; Report of three Earthquakes,1
Diagnostic histologique des infections bactériennes nécrosantes extensives du poumon Étude de 4 observations d'évolution fulminante,1
A multiplex PCR for Massachusetts and Arkansas serotypes of infectious bronchitis virus,1
Health benefits of orally administered anti-IL-10 antibody in milk-fed dairy calves,1
Arenavirus budding resulting from viral-protein-associated cell membrane curvature,1
Evidence from the evolutionary analysis of nucleotide sequences for a recombinant history of SARS-CoV,1
Health Care-Associated Infections and the Radiology Department,1
Harnessing host-virus evolution in antiviral therapy and immunotherapy,1
A Recombinant La Sota Vaccine Strain Expressing Multiple Epitopes of Infectious Bronchitis Virus (IBV) Protects Specific Pathogen-Free (SPF) Chickens against IBV and NDV Challenges,1
The human Transmembrane Protease Serine 2 is necessary for the production of Group 2 influenza A virus pseudotypes,1
Basic nutritional investigation Autoantibodies against appetite-regulating peptide hormones and neuropeptides: Putative modulation by gut microflora,1
Identification of murine CD8 T cell epitopes in codon-optimized SARS-associated coronavirus spike protein,1
"""Epidemiology and aetiology of influenza-like illness among households in metropolitan Vientiane, Lao PDR"": A prospective, community-based cohort study",1
Genetic characterization of EV71 isolates from 2004 to 2010 reveals predominance and persistent circulation of the newly proposed genotype D and recent emergence of a distinct lineage of subgenotype C2 in Hong Kong,1
Cathepsin L promotes secretory IgA response by participating in antigen presentation pathways during Mycoplasma Hyopneumoniae infection,1
~] Pergamon A MODEL FOR RESPIRATORY SYNCYTIAL VIRUS (RSV) INFECTION BASED ON EXPERIMENTAL AEROSOL EXPOSURE WITH BOVINE RSV IN CALVES,1
Reduction of porcine reproductive and respiratory syndrome virus (PRRSV) infection in swine alveolar macrophages by porcine circovirus 2 (PCV2)-induced interferon-alpha,1
Positive mental health-related impacts of the SARS epidemic on the general public in Hong Kong and their associations with other negative impacts,1
Advances in Developing Therapies to Combat Zika Virus: Current Knowledge and Future Perspectives,1
The PGRS Domain of Mycobacterium tuberculosis PE_PGRS Protein Rv0297 Is Involved in Endoplasmic Reticulum Stress- Mediated Apoptosis through Toll-Like Receptor 4,1
Public Response to Community Mitigation Measures for Pandemic Infl uenza,1
Dual Modes of Modification of Hepatitis A Virus 3C Protease by a Serine-derived b-Lactone: Selective Crystallization and Formation of a Functional Catalytic Triad in the Active Site,1
RAPID COMMUNICATION Nascent Synthesis of Leader Sequence-Containing Subgenomic mRNAs in Coronavirus Genome-Length Replicative Intermediate RNA,1
De-O-Acetylation of mucin-derived sialic acids by recombinant NanS-p esterases of Escherichia coli O157:H7 strain EDL933,1
International Emergency Medicine PREHOSPITAL EMERGENCY CARE IN SHANGHAI: PRESENT AND FUTURE,1
Whole genome sequencing in the prevention and control of Staphylococcus aureus infection,1
Apoptotic signals induce specific degradation of ribosomal RNA in yeast,1
Aerosol Generating Procedures and Risk of Transmission of Acute Respiratory Infections to Healthcare Workers: A Systematic Review,1
Contributions of the S2 spike ectodomain to attachment and host range of infectious bronchitis virus,1
MERS-CoV geography and ecology in the Middle East: analyses of reported camel exposures and a preliminary risk map,1
Managing Toronto Citywide Health Crises Through 2-1-1 Services,1
molecules Asymmetric Primaquine and Halogenaniline Fumardiamides as Novel Biologically Active Michael Acceptors,1
Interactions between business conditions and financial performance of tourism firms: Evidence from China and Taiwan,1
Biotinylated and radioactive cDNA probes in the detection by hybridization of bovine enteric coronavirus,1
Herington and Lee Globalization and Health,1
"Molecular Basis of NDM-1, a New Antibiotic Resistance Determinant",1
A Novel Mechanism Underlying the Innate Immune Response Induction upon Viral-Dependent Replication of Host Cell mRNA: A Mistake of +sRNA Viruses' Replicases,1
Angiotensin-converting enzyme 2/ angiotensin-(1-7)/Mas axis prevents lipopolysaccharide-induced apoptosis of pulmonary microvascular endothelial cells by inhibiting JNK/NF-kB pathways,1
Pathobiology of Avian avulavirus 1: special focus on waterfowl,1
BMC Infectious Diseases Automated extraction protocol for quantification of SARS-Coronavirus RNA in serum: an evaluation study,1
Inhibition of hepatitis B virus replication by ligand-mediated activation of RNase L,1
H5N1 infection of the respiratory tract and beyond: a molecular pathology study,1
Effects of lipopolysaccharide structure on lycopene production in Escherichia coli,1
Diagnosing pneumonia in rural Thailand: Digital cameras versus film digitizers for chest radiograph teleradiology,1
Pulsed electromagnetic fields stimulation prevents steroid-induced osteonecrosis in rats,1
Cell mediated innate responses of cattle and swine are diverse during foot-and-mouth disease virus (FMDV) infection: A unique landscape of innate immunity,1
Performance and clinical validation of the RealStar ® MERS-CoV Kit for detection of Middle East respiratory syndrome coronavirus RNA,1
Quantitative analysis and chromatographic fingerprinting for the quality evaluation of Scutellaria baicalensis Georgi using capillary electrophoresis,1
In silico screening of Chinese herbal medicines with the potential to directly inhibit 2019 novel coronavirus,1
Transcriptional profiles of PBMCs from pigs infected with three genetically diverse porcine reproductive and respiratory syndrome virus strains,1
In Vivo Analysis of Glial Cell Phenotypes during a Viral Demyelinating Disease in Mice,1
Memory T cell responses targeting the SARS coronavirus persist up to 11 years post-infection,1
Procyonids and Viverids,1
Phellodendron chinense Schneid: A novel yellow-emitting luminescent material for white light-emitting diodes OPEN,1
materials Effects of Laser Texture Oxidation and High-Temperature Annealing of TiV Alloy Thin Films on Mechanical and Antibacterial Properties and Cytotoxicity,1
Oligonucleotide-based microarray for detection of plant viruses employing sequence-independent amplification of targets,1
Frameshifting RNA pseudoknots: Structure and mechanism,1
Preparation and Antibacterial Activity Evaluation of 18-β-glycyrrhetinic Acid Loaded PLGA Nanoparticles,1
Nucleic acid aptamer-based methods for diagnosis of infections,1
Inflammatory monocytes damage the hippocampus during acute picornavirus infection of the brain,1
Saturation mutagenesis genome engineering of infective ΦX174 bacteriophage via unamplified oligo pools and golden gate assembly,1
Ten Strategies of Interferon Evasion by Viruses,1
Liquid chromatography-tandem mass spectrometry analysis of anisodamine and its phase I and II metabolites in rat urine,1
Identification of Oxidative Stress and Toll-like Receptor 4 Signaling as a Key Pathway of Acute Lung Injury,1
Global response to pandemic flu: more research needed on a critical front,1
/3-Endorphin protects mice from neurological disease induced by the murine coronavirus MHV-JHM,1
An optimized microarray platform for assaying genomic variation in Plasmodium falciparum field populations,1
Insights into the genetic and host adaptability of emerging porcine circovirus 3,1
Biochip sensors for the rapid and sensitive detection of viral disease,1
-NC-ND 4.0 license,1
ARTICLE Picornavirus uncoating intermediate captured in atomic detail,1
T-cell immunity of SARS-CoV: Implications for vaccine development against MERS-CoV,1
Evaluation of Approaches to Identify the Targets of Cellular Immunity on a Proteome-Wide Scale,1
Case Detection Algorithms,1
High-Dose Corticosteroid Use and Risk of Hip Osteonecrosis: Meta-Analysis and Systematic Literature Review,1
The Impact of Middle East Respiratory Syndrome Outbreak on Trends in Emergency Department Utilization Patterns,1
Non-pharmaceutical interventions for the prevention of respiratory tract infections during Hajj pilgrimage,1
Selection of SARS-Coronavirus-specific B cell epitopes by phage peptide library screening and evaluation of the immunological effect of epitope-based peptides on mice ☆,1
BMC Infectious Diseases IFNG +874T/A polymorphism is not associated with American tegumentary leishmaniasis susceptibility but can influence Leishmania induced IFN-γ production,1
viruses Hepatitis E Virus Entry,1
Inhibition of nucleo-cytoplasmic trafficking by RNA viruses: targeting the nuclear pore complex,1
Modulation of innate immune signaling by nonstructural protein 1 (nsp1) in the family Arteriviridae,1
"ZIKA VIRUS INFECTION AT DIFFERENT PREGNANCY STAGES: ANATOMOPATHOLOGICAL FINDINGS, TARGET CELLS AND VIRAL PERSISTENCE IN PLACENTAL TISSUES Running title ZIKA VIRUS INFECTION IN HUMAN PLACENTAS List of authors",1
INTERACTION OF ROTAVIRUS AND ENTEROTOXIGENIC ESCHERICHIA COLI IN CONVENTIONALLY-REARED DAIRY CALVES,1
A Methodology for Determining Which Diseases Warrant Care in a High-Level Containment Care Unit †,1
cis Acting RNA Sequences Control the Gag-Pol Translation Readthrough in Murine Leukemia Virus,1
Forming research questions *,1
Ethics of Clinical Science in a Public Health Emergency: Drug Discovery at the Bedside,1
Profiling of cellular proteins in porcine reproductive and respiratory syndrome virus virions by proteomics analysis,1
Unlocking bat immunology: establishment of Pteropus alecto bone marrow-derived dendritic cells and macrophages OPEN,1
"Rabies outbreak in African Wild Dogs (Lycaon pictus) in the Tuli region, Botswana: Interventions and management mitigation recommendations",1
Scientific RepoRts | 6:18825 | of Korea. 12 The MERS Task Force of the,1
Dianke virus: A new mesonivirus species isolated from mosquitoes in Eastern Senegal,1
Rapid in situ hybridization technique for the detection of ribonucleic acids in tissues using radiolabelled and flourescein-labelled riboprobes,1
Citation: Quantitative Proteomic Analysis of Duck Ovarian Follicles Infected with Duck Tembusu Virus by Label-Free LC-MS,1
Spherules and IBV,1
Current status of multiple antigen-presenting peptide vaccine systems: Application of organic and inorganic nanoparticles,1
Characterization and application of monoclonal antibodies specific to West Nile virus envelope protein,1
molecules Small Interfering RNA Effectively Inhibits the Expression of SARS Coronavirus Membrane Gene at Two Novel Targeting Sites,1
Potentially preventable urinary tract infection in patients with type 2 diabetes -A hospital-based study,1
Peptide-Protein Interaction Studies of Antimicrobial Peptides Targeting Middle East Respiratory Syndrome Coronavirus Spike Protein: An In Silico Approach,1
Anticomplementary principles of a Chinese multiherb remedy for the treatment and prevention of SARS,1
Learning during a crisis: The SARS epidemic in Taiwan ☆,1
Hepatitis E Virus (HEV): Molecular Cloning and Sequencing of the Full-Length Viral Genome,1
Development of nonhuman adenoviruses as vaccine vectors,1
Detection of Colorectal Cancer by Serum and Tissue Protein Profi ling: A Prospective Study in a Population at Risk,1
Localization of Extensive Deletions in the Structural Genes of Two Neurotropic Variants of Murine Coronavirus JHM,1
"The General Composition of the Faecal Virome of Pigs Depends on Age, but Not on Feeding with a Probiotic Bacterium",1
The Role of Carbohydrates in Infection Strategies of Enteric Pathogens,1
3D tissue-like assemblies: A novel approach to investigate virus-cell interactions,1
A case report of the enterovirus-D68 associated severe acute respiratory illness in a pediatric case from India,1
Membrane insertion of the three main membranotropic sequences from SARS-CoV S2 glycoprotein,1
Aspects of the Health Inspection Authority in the People's Republic of China,1
Correlation between dissociation and catalysis of SARS-CoV main protease,1
The demand for inpatient and ICU beds for COVID-19 in the US: lessons from Chinese cities,1
Rapid isolation of morbillivirus nucleocapsid for genomic RNA cDNA cloning and the production of specific core protein antisera,1
Healthcare-associated infections: the hallmark of Middle East respiratory syndrome coronavirus with review of the literature,1
Cotranslational Folding Stimulates Programmed Ribosomal Frameshifting in the Alphavirus Structural Polyprotein,1
RNA structure analysis of alphacoronavirus terminal genome regions,1
Assessment of the risk of infectious aerosols leaking to the environment from BSL-3 laboratory HEPA air filtration systems using model bacterial aerosols,1
Mannose-binding lectin deficiency and acute exacerbations of chronic obstructive pulmonary disease,1
Rapid approach to identify an unrecognized viral agent,1
Duck gut viral metagenome analysis captures snapshot of viral diversity,1
Local Antigen Encounter Is Essential for Establishing Persistent CD8 + T-Cell Memory in the CNS,1
"Origin, diversity, and maturation of human antiviral antibodies analyzed by high-throughput sequencing",1
Prevalence of porcine circovirus type 3 in pigs in the southeastern Chinese province of Zhejiang,1
Post weaning diarrhea in pigs: risk factors and non-colistin-based control strategies,1
"First human case of avian influenza A (H5N6) in Yunnan province, China 596484S Case Report",1
An appraisal of different methods for the detection of the walnut strain of cherry leafroll virus,1
Identification of a potent benzoxaborole drug candidate for treating cryptosporidiosis,1
"Acute, subacute, and chronic cervical lymphadenitis in children",1
Control of canine distemper,1
Host and infectivity prediction of Wuhan 2019 novel coronavirus using deep learning algorithm,1
"Chinese Journal of Natural Medicines ·Reviews· Photochemistry and pharmacology of 9, 19-cyclolanostane gly- cosides isolated from genus Cimicifuga",1
Estimation of the National Disease Burden of Influenza- Associated Severe Acute Respiratory Illness in Kenya and Guatemala: A Novel Methodology,1
Les pneumopathies communautaires Pneumopathie nosocomiale,1
The envelope protein of severe acute respiratory syndrome coronavirus interacts with the non-structural protein 3 and is ubiquitinated,1
Up-regulation of IL-6 and TNF-␣ induced by SARS-coronavirus spike protein in murine macrophages via NF-B pathway,1
Dual detection of Legionella pneumophila and Legionella species by real-time PCR targeting the 23S-5S rRNA gene spacer region,1
The protective effect of recombinant Lactococcus lactis oral vaccine on a Clostridium difficile-infected animal model,1
Evolutionary rate shifts suggest species-specific adaptation events 1 in HIV-1 and SIV 6,1
NS5A Domain 1 and Polyprotein Cleavage Kinetics Are Critical for Induction of Double-Membrane Vesicles Associated with Hepatitis C Virus Replication,1
Phytomolecule icaritin incorporated PLGA/TCP scaffold for steroid- associated osteonecrosis: Proof-of-concept for prevention of hip joint collapse in bipedal emus and mechanistic study in quadrupedal rabbits,1
Sudden unexpected death in adults caused by intracranial pathology,1
Molecular Characterization of Transcriptome-wide Interactions between Highly Pathogenic Porcine Reproductive and Respiratory Syndrome Virus and Porcine Alveolar Macrophages in vivo,1
Anti-inflammatory effect of torilidis fructus ethanol extract through inhibition of Src,1
Next-Generation Sequencing of Small RNAs from HIV-Infected Cells Identifies Phased microRNA Expression Patterns and Candidate Novel microRNAs Differentially Expressed upon Infection,1
Topological data analysis to model the shape of immune responses during co-infections,1
Chloroquine and Its Derivatives Exacerbate B19V- Associated Anemia by Promoting Viral Replication,1
Human-animal interactions and bat coronavirus spillover potential among rural residents in Southern China-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/),1
"Development of a real-time TaqMan ® RT-PCR assay for the detection of infectious bronchitis virus in chickens, and comparison of RT-PCR and virus isolation",1
Conservation implications of primate trade in China over 18 years based on web news reports of confiscations,1
The Highest Cited Papers in Brucellosis: Identification Using Two Databases and Review of the Papers' Major Findings,1
Simple and rapid detection of human enterovirus 71 by reverse-transcription and loop-mediated isothermal amplification: cryopreservation affected the detection ability ☆,1
Face Mask Use and Control of Respiratory Virus Transmission in Households CME ACTIVITY,1
Rapid Communication TMV recombinants encoding fused foreign transmembrane domains to the CP subunit caused local necrotic response on susceptible tobacco,1
Citation: The Network of Interactions Among Porcine Reproductive and Respiratory Syndrome Virus Non-structural Proteins,1
Chicken egg yolk antibodies (IgY) modulate the intestinal mucosal immune response in a mouse model of Salmonella typhimurium infection,1
Assessing hospital preparedness using an instrument based on the Mass Casualty Disaster Plan Checklist: Results of a statewide survey,1
"Cross-sectional survey on public health informatics workforce in China: issues, developments and the future Public Health",1
Management of sepsis in neutropenic patients: 2014 updated guidelines from the Infectious Diseases Working Party of the German Society of Hematology and Medical Oncology (AGIHO),1
Development of Onchocerca volvulus in humanized NSG mice and detection of parasite biomarkers in urine and serum,1
Identification of a Novel Linear B-Cell Epitope on the Nucleocapsid Protein of Porcine Deltacoronavirus,1
Sample preparation for serum/plasma profiling and biomarker identification by mass spectrometry,1
"Alternativ Cefoxitin (▶ 18.2.2), Amoxicillin mit BetalaktamaseHemmer",1
SARS epi-demiology and cumulative case curve,1
CD4-Independent Human Immunodeficiency Virus Infection Involves Participation of Endocytosis and Cathepsin B,1
Towards construction of viral vectors based on avian coronavirus infectious bronchitis virus for gene delivery and vaccine development,1
The PRRSV replicase: Exploring the multifunctionality of an intriguing set of nonstructural proteins,1
The calcium-dependent ribonuclease XendoU promotes ER network formation through local RNA degradation,1
Do Newton's rules of reasoning guarantee truth . . . must they?,1
Intensifying poultry production systems and the emergence of avian influenza in China: a 'One Health/Ecohealth' epitome,1
"Bat-to-human: spike features determining 'host jump' of coronaviruses SARS-CoV, MERS-CoV, and beyond",1
Reusable elastomeric air-purifying respirators: Physiologic impact on health care workers,1
predictors of Initial smear- Negative Active pulmonary tuberculosis with Acute early stage Lung Injury by High-Resolution Computed tomography and Clinical Manifestations: An Auxiliary Model in Critical patients,1
Understanding the mechanisms of viral induced asthma: New therapeutic directions,1
Citation:) Production of Defective Interfering Particles of Influenza A Virus in Parallel Continuous Cultures at Two Residence Times-Insights From qPCR Measurements and Viral Dynamics Modeling. Production of Defective Interfering Particles of Influenza A Virus in Parallel Continuous Cultures at Two Residence Times-Insights From qPCR Measurements and Viral Dynamics Modeling,1
Pathologie infectieuse Facteurs infectieux et non infectieux des otites et des sinusites ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■ ■,1
